OrderID,OrderDate,ShipDate,Region,State,Category,Sub-Category,Quantity,UnitPrice,Discount,Sales,Cost,Profit,CustomerName,Segment,ShipMode,Year,Month,OrderWeek,DeliveryDays,ProfitMargin
ORD-2025-100001,2022-04-13,2022-04-18,Central,Ohio,Technology,Phones,2,832.65,0.0,1665.3,1058.1,607.2,Mrs. Anna Scott,Corporate,Standard Class,2022,2022-04,15,5,0.36461898756980726
ORD-2026-100002,2022-07-11,2022-07-18,East,Pennsylvania,Office Supplies,Binders,2,21.84,0.05,41.5,19.08,22.42,Patricia Turner,Consumer,Standard Class,2022,2022-07,28,7,0.5402409638554218
ORD-2024-100003,2022-07-09,2022-07-11,West,Oregon,Office Supplies,Storage,2,17.24,0.0,34.48,16.95,17.53,John Wright,Home Office,First Class,2022,2022-07,27,2,0.5084106728538283
ORD-2025-100004,2024-02-16,2024-02-17,West,Nevada,Furniture,Furnishings,1,261.27,0.0,261.27,154.72,106.55,Nathan Shaffer,Home Office,Standard Class,2024,2024-02,7,1,0.4078156696138095
ORD-2026-100005,2024-05-21,2024-05-26,West,Washington,Furniture,Furnishings,4,256.56,0.15,872.3,612.9,259.4,Michael Parker MD,Consumer,Standard Class,2024,2024-05,21,5,0.2973747563911498
ORD-2024-100006,2022-10-23,2022-10-28,East,New Jersey,Office Supplies,Storage,2,22.12,0.0,44.24,19.33,24.91,Morgan Turner,Corporate,Standard Class,2022,2022-10,42,5,0.5630650994575045
ORD-2025-100007,2024-04-18,2024-04-21,East,Pennsylvania,Office Supplies,Labels,5,17.99,0.1,80.95,42.24,38.71,Robert Johnson,Consumer,Standard Class,2024,2024-04,16,3,0.4781964175416924
ORD-2026-100008,2023-02-11,2023-02-14,East,Massachusetts,Office Supplies,Paper,3,19.26,0.05,54.89,27.67,27.22,Marisa Johnson,Corporate,Second Class,2023,2023-02,6,3,0.49590089269447984
ORD-2024-100009,2024-05-20,2024-05-21,Central,Ohio,Furniture,Furnishings,1,252.61,0.0,252.61,160.74,91.87,Kimberly Fernandez,Home Office,Standard Class,2024,2024-05,21,1,0.36368314793555284
ORD-2025-100010,2024-01-19,2024-01-22,East,Pennsylvania,Technology,Computers,2,674.88,0.15,1147.3,838.61,308.69,Gregory Thompson,Corporate,First Class,2024,2024-01,3,3,0.26905778784973416
